"uid"	"cat"	"name"	"screen_name"	"description"	"verified"	"location"	"lat"	"lon"	"country"	"countryID"	"created_at"	"followers_count"	"friends_count"	"statuses_count"	"favourites_count"	"listed_count"
24306618	0.0	"Mahtie Bush"	"Mahtiebush916"	"Emcee/Bboy  Backpackramento, Childs play, No Days Off EP Available on iTunes/Spotify"	False	"Sacramento, CA"	38.58157	-121.4944	"United States"	"6252001"	"2009-03"	1729.0	1300.0	25196.0	1197.0	67.0
353351870	1.0	"Kevin Carson Ⓐ"	"KevinCarson1"	"I write for http://t.co/yytiWMST3J   Buy my book: http://t.co/4HHLpE7cj9  Support me at Patreon: http://t.co/JQgykAN12x"	False	"Northwest Arkansas"	36.28194	-94.30694	"United States"	"6252001"	"2011-08"	4451.0	1689.0	170989.0	48700.0	261.0
862131258	1.0	"Matt Didato"	"matt_didato"	"Instead of building walls, we need to be tearing down barriers. -@HillaryClinton. #ImWithHer #Hillary2016 #LoveTrumpsHate #FightingForUs"	False	"Scranton, PA"	41.40916	-75.6649	"United States"	"6252001"	"2012-10"	733.0	1358.0	2715.0	1041.0	21.0
1023193092	0.0	"mqsud ♉"	"bonbon_nuit"	"kosher bacon tweets and whatever the f* I feel like tweeting. I came to slay......."	False	""	""	""	""	""	"2012-12"	466.0	237.0	2561.0	1769.0	3.0
128210898	1.0	"College Democrats NC"	"CollegeDemsNC"	"The College Democrats of North Carolina (CDNC) is the official student arm of the Democratic Party in North Carolina. Visit us on Facebook: http://t.co/PnitvMui"	False	"North Carolina"	18.38078	-65.95739	"Puerto Rico"	"4566966"	"2010-03"	4083.0	3367.0	3975.0	744.0	116.0
4013838856	1.0	"Dukes for Hillary"	"JMU4Hillary"	"We're the college outreach team @ James Madison University to help get Hillary Clinton elected the next President of the United States! #ImWithHer #HillaryForVA"	False	"Harrisonburg, VA"	38.44957	-78.86892	"United States"	"6252001"	"2015-10"	521.0	197.0	253.0	43.0	6.0
1343876084	1.0	"Troll_Hunter17"	"trollhunter17"	"#StopRush #VoteOutGOP  No RWNJ's or people living #FoxNewsBubble #p2 #Hillary2016 @UniteBlue #OFA #Liberal #ClimateChange #Science #VRA1965"	False	"United States"	39.76	-98.5	"United States"	"6252001"	"2013-04"	893.0	1175.0	2133.0	108.0	34.0
560595425	1.0	"Anna"	"earthlylullaby"	"¯\_₍⸍⸌̣ʷ̣̫⸍̣⸌₎_/¯"	False	"mtn. state "	-37.98333	145.06667	"Australia"	"2077456"	"2012-04"	12318.0	131.0	64838.0	29725.0	141.0
587931720	0.0	"Stephen Houldsworth"	"sfhouldsworth"	"LGBTQ* activist, HIV advocate, educator, artist. music lover, atheist, genealogist, married gay man."	False	"Saint Louis, Missouri"	38.62727	-90.19789	"United States"	"6252001"	"2012-05"	977.0	914.0	1871.0	281.0	28.0
3409254867	1.0	"DC Youth for Bernie"	"dcyouth4bernie"	"This is the twitter of DC Youth for Bernie 2016. Follow us for updates and Bernie quotes or events."	False	"Washington, DC"	38.89511	-77.03637	"United States"	"6252001"	"2015-08"	680.0	222.0	248.0	195.0	15.0
49010609	0.0	"Eddie Ziss"	"Trumpnetworkdon"	"Donald Trump wants 1 million new apprentices for the Trump Network. Want to be one?"	False	"USA"	39.76	-98.5	"United States"	"6252001"	"2009-06"	1385.0	1756.0	73.0	0.0	3.0
3433544427	1.0	"Bernie Sanders ATL"	"AtlBernie"	"Atlanta is ready for #BernieSanders!
#FeelTheBern"	False	"Atlanta, GA"	33.749	-84.38798	"United States"	"6252001"	"2015-08"	298.0	241.0	68.0	12.0	13.0
17888100	0.0	"Scott Bush"	"scott_bush"	"I'm a street walkin' cheetah with a heart full of napalm"	False	"St. Paul"	-21.00963	55.27071	"Réunion"	"935317"	"2008-12"	1184.0	734.0	22063.0	2826.0	56.0
93294953	0.0	"PoliticsAfrica.com"	"PoliticsAfrica"	"Your Source for Politics in Africa. Period."	False	"Everywhere"	-23.41612	28.16256	"South Africa"	"953987"	"2009-11"	467.0	450.0	286.0	8.0	14.0
1389906121	1.0	"Trevor Voytko"	"TrevorVoytko"	"Ted Cruz '16"	False	"Gainesville, FL "	29.65163	-82.32483	"United States"	"6252001"	"2013-04"	697.0	1237.0	20491.0	11194.0	5.0
7702542	1.0	"Dana Loesch"	"DLoesch"	"Nationally syndicated talk radio host w @RadioAmericaNet, DANA on #TheBlazeTV. Author; NEW BOOK #FLYOVERNATION out 6/21. God, family, guns. Born for the storm."	True	"Dallas, TX"	32.78306	-96.80667	"United States"	"6252001"	"2007-07"	376564.0	3763.0	94997.0	14078.0	6918.0
3016501992	0.0	"John  for Trump"	"johnkurkosky"	"Minnesota for Trump,  
singer songwriter, don't like where our country is going,  sick of corrupt career politicians,  Love  my country,"	False	"Minnesota, USA"	46.25024	-94.25055	"United States"	"6252001"	"2015-02"	1896.0	3025.0	4546.0	3834.0	21.0
35536897	1.0	"G"	"gezebelmarina"	"i take photos | ig: gez.marina #bernie2016"	False	"Dallas, TX"	32.78306	-96.80667	"United States"	"6252001"	"2009-04"	724.0	445.0	28812.0	16200.0	6.0
31296078	1.0	"Dennis McCarson"	"DennisMcCarson"	"Stand Up Comedian/Actor/Beard Enthusiast/Writer/Terrible Musician/Thug For Life/ I have a youtube show where I get drunk and put legos together on the internet."	False	"Philadelphia"	39.95233	-75.16379	"United States"	"6252001"	"2009-04"	2925.0	2524.0	10881.0	128.0	37.0
17000866	0.0	"Cliff Graham"	"cliffgraham"	"Husband of @raisingWarriors and father of four arrows. Author of Bible-based war fiction, former soldier, speaker."	False	""	""	""	""	""	"2008-10"	3217.0	341.0	6617.0	428.0	59.0
21695125	1.0	"drennen quinn"	"six_dffrnt_wys"	"Current host of Late Show with David Letterman, former XFL champion, true #belieber, I can #feelthebern"	False	"Williamsburg, Brooklyn"	40.70694	-73.95778	"United States"	"6252001"	"2009-02"	783.0	677.0	935.0	919.0	20.0
2232234570	0.0	"SantaCruzShakespeare"	"SantaCruzShakes"	"Shakespeare plays on in Santa Cruz! Santa Cruz Shakes is the movement that shocked the world to relaunch three decades of tradition as a forward-funded theatre!"	False	"Santa Cruz, CA"	36.97412	-122.0308	"United States"	"6252001"	"2013-12"	1781.0	1874.0	1152.0	1176.0	62.0
2666776129	0.0	"Nobama"	"MisterRight69"	""	False	""	""	""	""	""	"2014-07"	4.0	11.0	26.0	2.0	0.0
143628199	1.0	"Eric Single"	"Eric_Single"	"Producer, @SINow. Recovering editor-in-chief, The Vanderbilt Hustler. Clint Hurdle once told me to never use the phrase 'mop-up duty.'"	False	"New York"	40.71427	-74.00597	"United States"	"6252001"	"2010-05"	1245.0	1148.0	10853.0	658.0	33.0
369044765	1.0	"Martha for Congress"	"Martha4Congress"	"Candidate for U.S. Congress in Georgia's 9th Congressional District."	False	"Gainesville, GA"	29.65163	-82.32483	"United States"	"6252001"	"2011-09"	454.0	358.0	926.0	0.0	24.0
3630049992	1.0	"Dear Bernie Sanders"	"DearBernie2016"	"Human. Doctor of Jurisprudence with a B.A. in American history, and helping to elect Bernie Sanders because corporations shouldn't own people & poverty kills."	False	"Portland, OR"	45.52345	-122.67621	"United States"	"6252001"	"2015-09"	1400.0	1859.0	4706.0	1504.0	51.0
28054095	0.0	"Lincoln Carson"	"lincolncarson"	"Pastry chef, teacher to some, student of many others. Still a nuisance."	False	""	""	""	""	""	"2009-04"	1554.0	381.0	1713.0	351.0	40.0
